"GSE","suppl_exists","suppl_empty","has_filelist","has_BPM.x","decision","reason","has_RAW_tar","has_CEL","has_GPR","has_IDAT","has_BPM.y","has_TXT","has_CSV","has_XLSX","has_matrix","file_types","inferred_type"
"GSE100155",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BGX;TAR","Unknown"
"GSE10300",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
"GSE106986",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE108000",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE109857",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE111761",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE113212",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE120103",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE121618",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TAR;TXT","TXT_array"
"GSE12195",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CEL;TAR","Affymetrix_microarray"
