"GSE","suppl_exists","suppl_empty","has_filelist","has_BPM","decision","reason"
"GSE100155",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE10300",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE106986",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE108000",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE109857",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE111761",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE113212",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE120103",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE121618",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE12195",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE125989",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE127952",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE130588",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE13213",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE133057",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE13355",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE136701",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE139994",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE141864",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE14333",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
